0,2414731,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
1,2414735,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
2,2414739,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
3,2414743,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
4,2414747,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
5,2414751,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
6,2414755,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
7,2414759,263.321960449219,-68.9787673950195,300,4.34996705322988E-09,0.707106530666351,-0.70710700750351,3.11869530200681E-09,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
8,2414763,263.321929931641,-68.9803924560547,299.999969482422,1.20587655416671E-08,0.707104802131653,-0.707108736038208,5.94143614307541E-08,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
9,2414767,263.32177734375,-68.9856338500977,299.999908447266,5.34634416737845E-08,0.707099914550781,-0.70711362361908,2.00148804196942E-07,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
10,2414771,263.321563720703,-68.9972534179688,299.999816894531,1.31987590634708E-07,0.707090735435486,-0.70712286233902,4.79101061046094E-07,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
11,2414775,263.321197509766,-69.0185775756836,299.999603271484,2.40418529529052E-07,0.707077383995056,-0.707136213779449,9.13599478735705E-07,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
12,2414779,263.320739746094,-69.0541839599609,299.999328613281,3.96592298557152E-07,0.707060039043427,-0.707153499126434,1.45790170336113E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
13,2414783,263.320251464844,-69.1095428466797,299.999053955078,5.63626656457927E-07,0.707039654254913,-0.707173883914948,2.13778116631147E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
14,2414787,263.319763183594,-69.1890335083008,299.998748779297,7.60240482122754E-07,0.707019567489624,-0.707193970680237,2.78277298093599E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
15,2414791,263.319427490234,-69.2953872680664,299.998565673828,9.24492553622258E-07,0.70700466632843,-0.707208871841431,3.26595250044193E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
16,2414795,263.319366455078,-69.4311218261719,299.998474121094,9.88345732366724E-07,0.70699805021286,-0.707215487957001,3.53468180946948E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
17,2414799,263.319580078125,-69.5983200073242,299.998504638672,1.00987040241307E-06,0.706999838352203,-0.707213699817657,3.46349656865641E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
18,2414803,263.320068359375,-69.796760559082,299.998626708984,9.58356395130977E-07,0.707009553909302,-0.707204043865204,3.13409145746846E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
19,2414807,263.320709228516,-70.0237426757813,299.998840332031,8.4830219293508E-07,0.707026064395905,-0.707187473773956,2.56408407039999E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
20,2414811,263.321502685547,-70.2760620117188,299.999145507813,6.78816491017642E-07,0.707046389579773,-0.707167148590088,1.88705689652124E-06,263.321960449219,-68.978515625,300.000030517578,5.89248250193464E-09,-0.70710676908493,0.70710676908493,-1.00753316800706E-08
